,,0
Finance Before,Energy Before,-0.7405571663835167
Finance Close,Energy Close,-0.7405571663835167
Finance Close,Energy Before,-0.7405571663835167
Energy Close,Finance Before,-0.7405571663835165
Healthcare Close,Finance Close,0.5866357187177468
Healthcare Before,Finance Before,0.5866357187177468
Healthcare Close,Finance Before,0.5866357187177468
Finance Close,Healthcare Before,0.5866357187177469
Finance Close,S&P 500 Before,0.618369594023039
S&P 500 Close,Finance Before,0.6183695940230391
S&P 500 Close,Finance Close,0.6183695940230391
S&P 500 Before,Finance Before,0.6183695940230391
Technology Close,Finance Close,0.6193636187438358
Technology Close,Finance Before,0.6193636187438358
Technology Before,Finance Before,0.6193636187438358
Finance Close,Technology Before,0.6193636187438358
Technology Close,Healthcare Before,0.973796342818121
Healthcare Before,Technology Before,0.973796342818121
Healthcare Close,Technology Close,0.973796342818121
Healthcare Close,Technology Before,0.973796342818121
Technology Close,S&P 500 Before,0.9855749308938778
S&P 500 Before,Technology Before,0.9855749308938778
S&P 500 Close,Technology Before,0.9855749308938778
S&P 500 Close,Technology Close,0.9855749308938778
Healthcare Close,S&P 500 Before,0.9972761921445698
S&P 500 Before,Healthcare Before,0.9972761921445698
S&P 500 Close,Healthcare Before,0.9972761921445698
S&P 500 Close,Healthcare Close,0.9972761921445698
Healthcare Close,Healthcare Before,1.0
Finance Close,Finance Before,1.0
Energy Close,Energy Before,1.0
S&P 500 Close,S&P 500 Before,1.0
Technology Close,Technology Before,1.0
